"AAAA","BBB"
"GPSData(longitude=16.5084, latitude=48.1473, altitude=777.6, track=341.2, ground_speed=109.1)","AttitudeData(true_heading=341.2, pitch=10.34, roll=1.17)",1744314535.701371
"GPSData(longitude=16.5079, latitude=48.1482, altitude=788.0, track=341.3, ground_speed=109.7)","AttitudeData(true_heading=341.3, pitch=10.36, roll=1.03)",1744314536.714765
"GPSData(longitude=16.5074, latitude=48.1492, altitude=798.7, track=341.4, ground_speed=110.4)","AttitudeData(true_heading=341.3, pitch=10.36, roll=0.88)",1744314537.728647
"GPSData(longitude=16.5069, latitude=48.1502, altitude=810.0, track=341.4, ground_speed=111.0)","AttitudeData(true_heading=341.4, pitch=10.33, roll=0.76)",1744314538.740556
"GPSData(longitude=16.5064, latitude=48.1512, altitude=821.1, track=341.5, ground_speed=111.6)","AttitudeData(true_heading=341.5, pitch=10.28, roll=0.66)",1744314539.7555578
"GPSData(longitude=16.5059, latitude=48.1521, altitude=832.7, track=341.5, ground_speed=112.3)","AttitudeData(true_heading=341.5, pitch=10.2, roll=0.56)",1744314540.7696981
"GPSData(longitude=16.5055, latitude=48.153, altitude=842.2, track=341.5, ground_speed=112.8)","AttitudeData(true_heading=341.5, pitch=10.1, roll=0.49)",1744314541.7827442
"GPSData(longitude=16.505, latitude=48.154, altitude=853.8, track=341.6, ground_speed=113.4)","AttitudeData(true_heading=341.6, pitch=10.0, roll=0.43)",1744314542.7960262
"GPSData(longitude=16.5045, latitude=48.155, altitude=865.7, track=341.6, ground_speed=114.1)","AttitudeData(true_heading=341.6, pitch=9.88, roll=0.37)",1744314543.8092742
"GPSData(longitude=16.504, latitude=48.156, altitude=877.3, track=341.6, ground_speed=114.7)","AttitudeData(true_heading=341.6, pitch=9.78, roll=0.33)",1744314544.823333
"GPSData(longitude=16.5035, latitude=48.157, altitude=889.1, track=341.7, ground_speed=115.4)","AttitudeData(true_heading=341.7, pitch=9.67, roll=0.29)",1744314545.836266
"GPSData(longitude=16.503, latitude=48.1581, altitude=900.8, track=341.7, ground_speed=116.0)","AttitudeData(true_heading=341.7, pitch=9.57, roll=0.25)",1744314546.850167
"GPSData(longitude=16.5025, latitude=48.1589, altitude=910.1, track=341.7, ground_speed=116.5)","AttitudeData(true_heading=341.7, pitch=9.48, roll=0.22)",1744314547.8636749
"GPSData(longitude=16.502, latitude=48.1599, altitude=921.7, track=341.7, ground_speed=117.2)","AttitudeData(true_heading=341.7, pitch=9.4, roll=0.2)",1744314548.876513
